site_code,Date,DT_round,SampleType,time_mst,chla_volume_ml,do_mgl,cond_ms_cm,temp_c,visit_comments
JOEI,2023-10-10,2023-10-10T18:45:00Z,NORM,11:45:00,1000,NA,NA,NA,"Removed sonde, downloaded log 1005-1010, pulled sensor due to snow"
CBRI,2023-10-10,2023-10-10T19:45:00Z,NORM,12:45:00,1000,NA,NA,NA,"Downloaded log, calibrated turb since most values were 0, calibration had hard time with 10 not 100. Started new log"
CHD,2023-10-10,2023-10-10T20:45:00Z,NORM,13:45:00,1000,NA,NA,NA,"Lots of benthic algae at site, some on wiper. Downloaded logs, cleaned sensors and redeployed. Sampled"
JWC,2023-10-10,2023-10-10T21:45:00Z,NORM,14:45:00,1000,NA,NA,NA,NA
LNGR,2023-10-16,2023-10-16T16:00:00Z,NORM,09:00:00,1000,7.58,59.97,7.1,NA
LNGO,2023-10-16,2023-10-16T16:30:00Z,NORM,09:30:00,1000,8.12,79.28,5,NA
PTRO,2023-10-16,2023-10-16T17:30:00Z,NORM,10:30:00,750,7.98,45.3,4.8,NA
PTRR,2023-10-16,2023-10-16T17:30:00Z,NORM,10:30:00,750,7.14,33.27,7.9,NA
JOEI,2023-10-16,2023-10-16T18:45:00Z,NORM,11:45:00,1000,8.27,83.84,4.1,NA
JOER,2023-10-16,2023-10-16T19:15:00Z,NORM,12:15:00,1000,6.93,52.73,9.8,NA
JOER,2023-10-16,2023-10-16T19:15:00Z,BLANK,12:15:00,1000,6.93,52.73,9.8,NA
CBRI,2023-10-16,2023-10-16T20:00:00Z,NORM,13:00:00,1000,7.94,65.73,5.7,"Updated software, downloaded log, cleaned, all working order, started new log, disconnect. Water much lower now, some algal growth on pipe but minimal"
CBRI,2023-10-16,2023-10-16T20:00:00Z,DUPLICATE,13:00:00,1000,7.94,65.73,5.7,"Updated software, downloaded log, cleaned, all working order, started new log, disconnect. Water much lower now, some algal growth on pipe but minimal"
BMD,2023-10-16,2023-10-16T20:45:00Z,NORM,13:45:00,1000,7.04,70.62,9.9,NA
BRNR,2023-10-16,2023-10-16T21:00:00Z,NORM,14:00:00,1000,6.75,70.83,9.9,NA
CBRR,2023-10-16,2023-10-16T21:30:00Z,NORM,14:30:00,1000,7.45,49.9,11.8,NA
CHD,2023-10-16,2023-10-16T22:00:00Z,NORM,15:00:00,1000,7.43,51.53,8.3,"Updated vulink, downloaded log, cleaned sensors, less dirty than before, depth at .38 ft, redeployed, new log and disconnect. Battery at 40%."
COMR,2023-10-24,2023-10-24T15:45:00Z,NORM,08:45:00,1000,8,35.8,3.1,NA
HORI,2023-10-24,2023-10-24T16:15:00Z,NORM,09:15:00,1000,8.51,23.89,2,NA
